Source	Target	Weight
Velerad	Geralt	1
Geralt	Foltest	5
Foltest	Geralt	4
Adda	Geralt	1
Geralt	Ostrit	4
Ostrit	Geralt	5
Ostrit	Foltest	1
Ostrit	Velerad	1
Foltest	Velerad	1
Foltest	Adda	1
Geralt	Adda	2
Foltest	Two	1
Yennefer	Nenneke	2
Nenneke	Geralt	12
Geralt	Nenneke	12
Geralt	Iola	4
Nenneke	Iola	8
Roach	Geralt	3
Two	Geralt	2
Geralt	Roach	4
Geralt	Nivellen	14
Nivellen	Geralt	11
Fenne	Geralt	1
Geralt	Fenne	1
Asse	Geralt	2
Roach	Vereena	2
Vereena	Geralt	4
Vereena	Nivellen	2
Hereward	Nenneke	5
Hereward	Geralt	4
Nenneke	Hereward	4
Geralt	Hereward	3
Nenneke	Falwick	4
Falwick	Nenneke	6
Geralt	Falwick	5
Hereward	Falwick	3
Falwick	Geralt	3
Falwick	Hereward	2
Geralt	Caldemeyn	4
Caldemeyn	Geralt	9
Stregobor	Count	1
Stregobor	Geralt	4
Geralt	Eltibald	1
Stregobor	Fredefalk	2
Geralt	Fredefalk	2
Fredefalk	Geralt	1
Geralt	Stregobor	8
Fredefalk	Renfri	2
Renfri	Fredefalk	2
Nohorn	Geralt	1
Nohorn	Tavik	1
Civril	Tavik	3
Tavik	Fifteen	1
Fifteen	Tavik	1
Civril	Renfri	4
Renfri	Civril	1
Renfri	Tavik	1
Tavik	Renfri	1
Tavik	Caldemeyn	1
Renfri	Caldemeyn	3
Caldemeyn	Renfri	2
Geralt	Renfri	11
Renfri	Audoen	3
Audoen	Caldemeyn	2
Geralt	Libushe	1
Libushe	Geralt	2
Renfri	Stregobor	4
Geralt	Audoen	2
Stregobor	Audoen	1
Stregobor	Renfri	8
Audoen	Renfri	2
Renfri	Geralt	8
Nohorn	Fifteen	1
Nohorn	Civril	1
Fifteen	Civril	3
Baron	Civril	1
Caldemeyn	Stregobor	1
Stregobor	Baron	1
Caldemeyn	Audoen	1
Audoen	Geralt	1
Civril	Fifteen	1
Civril	Geralt	1
Fifteen	Nohorn	1
Iola	Geralt	1
Yennefer	Iola	1
Geralt	Haxo	2
Haxo	Pavetta	4
Haxo	Calanthe	1
Pavetta	Calanthe	9
Calanthe	Geralt	17
Haxo	Geralt	3
Geralt	Rainfarn	1
Rainfarn	Windhalm	4
Calanthe	Eist	8
Calanthe	Pavetta	12
Eist	Pavetta	2
Eist	Calanthe	7
Pavetta	Eist	3
Eist	Crach	3
Crach	Eist	3
Crach	Draig	2
Crach	Calanthe	1
Draig	Calanthe	2
Draig	Eist	1
Calanthe	Drogodar	1
Eist	Drogodar	1
Eist	Vissegerd	3
Drogodar	Vissegerd	2
Geralt	Drogodar	1
Draig	Geralt	2
Geralt	Calanthe	5
Calanthe	Draig	1
Ravix	Haxo	2
Pavetta	Vissegerd	1
Vissegerd	Geralt	3
Crach	Geralt	1
Eist	Geralt	3
Haxo	Mousesack	2
Geralt	Mousesack	10
Mousesack	Crach	3
Mousesack	Draig	2
Mousesack	Calanthe	2
Roegner	Geralt	2
Geralt	Pavetta	4
Calanthe	Roegner	2
Roegner	Calanthe	4
Pavetta	Crach	2
Crach	Vissegerd	1
Vissegerd	Pavetta	1
Pavetta	Geralt	6
Geralt	Eist	2
Draig	Rainfarn	1
Pavetta	Roegner	2
Roegner	Pavetta	1
Pavetta	Mousesack	5
Calanthe	Sir	1
Sir	Rumplestelt	1
Rumplestelt	Calanthe	2
Baron	Calanthe	1
Geralt	Roegner	1
Geralt	Crach	2
Crach	Rainfarn	4
Rainfarn	Calanthe	4
Rainfarn	Crach	1
Calanthe	Crach	2
Rainfarn	Pavetta	2
Rainfarn	Eist	1
Windhalm	Calanthe	1
Windhalm	Pavetta	1
Windhalm	Eist	1
Pavetta	Rainfarn	2
Eist	Mousesack	2
Crach	Drogodar	1
Drogodar	Geralt	1
Crach	Mousesack	1
Mousesack	Geralt	1
Mousesack	Pavetta	2
Pavetta	Draig	1
Calanthe	Rainfarn	1
Rainfarn	Mousesack	1
Akerspaark	Roegner	1
Rainfarn	Geralt	1
Nettly	Geralt	2
Geralt	Nettly	3
Geralt	Dhun	7
Dhun	Geralt	3
Dhun	Nettly	4
Nettly	Dhun	3
Lille	Dhun	2
Dhun	Lille	3
Lille	Geralt	6
Geralt	Lille	6
Nettly	Lille	2
Geralt	Little	1
Torque	Galarr	3
Galarr	Geralt	3
Geralt	Galarr	3
Galarr	Torque	1
Geralt	Torque	6
